,Suburb_id,Suburb,Postcode,LGA,City,Suburb Latitude,Suburb Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,1741,Aberfoyle Park,5159,City of Onkaparinga,Adelaide,-35.067,138.6,waterlily fashion,-35.068958778546154,138.59763622283936,Women's Store
1,1741,Aberfoyle Park,5159,City of Onkaparinga,Adelaide,-35.067,138.6,Aberfoyle Park PC Repairs,-35.06403350830078,138.60296630859375,Electronics Store
2,1741,Aberfoyle Park,5159,City of Onkaparinga,Adelaide,-35.067,138.6,Pine Reserve,-35.070131108509045,138.60284186123874,Park
3,1741,Aberfoyle Park,5159,City of Onkaparinga,Adelaide,-35.067,138.6,Monaro Road Reserve,-35.065502,138.604908,Park
4,1742,Adelaide Airport,5950,City of West Torrens,Adelaide,-34.936098,138.5348719,Adelaide Airport Carpark,-34.93804944944187,138.53718493657067,Parking
5,1742,Adelaide Airport,5950,City of West Torrens,Adelaide,-34.936098,138.5348719,IKEA,-34.933747184079984,138.538405289212,Furniture / Home Store
6,1742,Adelaide Airport,5950,City of West Torrens,Adelaide,-34.936098,138.5348719,Hertz (Adelaide Airport),-34.93804685271085,138.5363677751184,Rental Car Location
7,1742,Adelaide Airport,5950,City of West Torrens,Adelaide,-34.936098,138.5348719,Cocolat,-34.93844806938895,138.53761905901047,Café
8,1742,Adelaide Airport,5950,City of West Torrens,Adelaide,-34.936098,138.5348719,Icons of South Australia,-34.93846037054692,138.53763054236921,Gift Shop
9,1742,Adelaide Airport,5950,City of West Torrens,Adelaide,-34.936098,138.5348719,Adelaide Airport (ADL) (Adelaide Airport),-34.938609197438836,138.53715172672116,Airport
10,1742,Adelaide Airport,5950,City of West Torrens,Adelaide,-34.936098,138.5348719,IKEA restaurant,-34.93376086131931,138.53832105697435,Café
11,1742,Adelaide Airport,5950,City of West Torrens,Adelaide,-34.936098,138.5348719,Coopers Alehouse,-34.938718722805696,138.5376918277381,Bar
12,1742,Adelaide Airport,5950,City of West Torrens,Adelaide,-34.936098,138.5348719,Qantas Club,-34.939200550544264,138.53677578145434,Airport Lounge
13,1742,Adelaide Airport,5950,City of West Torrens,Adelaide,-34.936098,138.5348719,Coopers 1862 Bar,-34.938549473592595,138.53757574377389,Bar
14,1742,Adelaide Airport,5950,City of West Torrens,Adelaide,-34.936098,138.5348719,Virgin Australia Lounge,-34.938145143908834,138.5381495958329,Airport Lounge
15,1742,Adelaide Airport,5950,City of West Torrens,Adelaide,-34.936098,138.5348719,Thrifty Car Rental,-34.938479093867834,138.53728853076925,Rental Car Location
16,1742,Adelaide Airport,5950,City of West Torrens,Adelaide,-34.936098,138.5348719,Carry On,-34.93864708395122,138.5375639529739,Gift Shop
17,1742,Adelaide Airport,5950,City of West Torrens,Adelaide,-34.936098,138.5348719,Australian Way,-34.938711942683256,138.5375765210183,Souvenir Shop
18,1742,Adelaide Airport,5950,City of West Torrens,Adelaide,-34.936098,138.5348719,Qantas Chairman's Lounge,-34.93920187181221,138.5367510882404,Airport Lounge
19,1742,Adelaide Airport,5950,City of West Torrens,Adelaide,-34.936098,138.5348719,CIBO Espresso,-34.938196301872786,138.53858818609527,Café
20,1742,Adelaide Airport,5950,City of West Torrens,Adelaide,-34.936098,138.5348719,Villa & Hut Café,-34.93882857759515,138.5378259785183,Café
21,1742,Adelaide Airport,5950,City of West Torrens,Adelaide,-34.936098,138.5348719,Rip Curl,-34.939103294869604,138.53739601990142,Clothing Store
22,1743,Albert Park,5014,City of Charles Sturt,Adelaide,-34.878,138.52100000000002,Louvre House,-34.8764343482518,138.51781904697418,Home Service
23,1743,Albert Park,5014,City of Charles Sturt,Adelaide,-34.878,138.52100000000002,Snap Albert Park,-34.875281304494536,138.52327466011047,Print Shop
24,1743,Albert Park,5014,City of Charles Sturt,Adelaide,-34.878,138.52100000000002,Albert Park Railway Station,-34.881565783638386,138.52319816796438,Train Station
25,1744,Alberton,5014,City of Port Adelaide Enfield,Adelaide,-34.861,138.516,Alberton Oval,-34.86434748120427,138.5187546647664,Football Stadium
26,1744,Alberton,5014,City of Port Adelaide Enfield,Adelaide,-34.861,138.516,Alberton Hotel,-34.861028,138.514307,Sports Bar
27,1744,Alberton,5014,City of Port Adelaide Enfield,Adelaide,-34.861,138.516,Alberton IGA,-34.85879,138.5195,Grocery Store
28,1744,Alberton,5014,City of Port Adelaide Enfield,Adelaide,-34.861,138.516,BP,-34.8592879,138.51318747,Gas Station
29,1744,Alberton,5014,City of Port Adelaide Enfield,Adelaide,-34.861,138.516,Alberton Railway Station,-34.85801007683586,138.5184544141772,Train Station
30,1744,Alberton,5014,City of Port Adelaide Enfield,Adelaide,-34.861,138.516,The Port Club,-34.8641380917511,138.51870319275073,Australian Restaurant
31,1745,Aldinga,5173,City of Onkaparinga,Adelaide,-35.266999999999996,138.483,Home Grain Bakery,-35.26786353624666,138.4831213406493,Bakery
32,1745,Aldinga,5173,City of Onkaparinga,Adelaide,-35.266999999999996,138.483,Aldinga Hotel,-35.26715171212041,138.48294534791384,Pub
33,1745,Aldinga,5173,City of Onkaparinga,Adelaide,-35.266999999999996,138.483,Aldinga Seafood,-35.267635,138.482996,Seafood Restaurant
34,1745,Aldinga,5173,City of Onkaparinga,Adelaide,-35.266999999999996,138.483,Brumby's,-35.26779200339067,138.48399423683173,Bakery
35,1745,Aldinga,5173,City of Onkaparinga,Adelaide,-35.266999999999996,138.483,The Old Vine Cafe,-35.266585281995724,138.48316499611474,Café
36,1746,Aldinga Beach,5173,City of Onkaparinga,Adelaide,-35.281,138.454,Aldinga Beach,-35.27900118055125,138.453481373476,Beach
37,1746,Aldinga Beach,5173,City of Onkaparinga,Adelaide,-35.281,138.454,BWS Aldinga Central Shopping Centre,-35.279032099937524,138.45744281968146,Hookah Bar
38,1747,Allenby Gardens,5009,City of Charles Sturt,Adelaide,-34.904,138.555,Subway,-34.90384878790287,138.56047681570325,Sandwich Place
39,1747,Allenby Gardens,5009,City of Charles Sturt,Adelaide,-34.904,138.555,Pets World,-34.90441,138.56011,Pet Store
40,1747,Allenby Gardens,5009,City of Charles Sturt,Adelaide,-34.904,138.555,Chemist King,-34.90363,138.56028,Pharmacy
41,1747,Allenby Gardens,5009,City of Charles Sturt,Adelaide,-34.904,138.555,Welland Fish & Chicken,-34.90363,138.56028,Fish & Chips Shop
42,1747,Allenby Gardens,5009,City of Charles Sturt,Adelaide,-34.904,138.555,LITTLE CHEZS,-34.90363,138.56028,Pizza Place
43,1748,Andrews Farm,5114,City of Playford,Adelaide,-34.672,138.667,Andrews Farm Fish And Chip Shop,-34.67013,138.666026,Fish & Chips Shop
44,1748,Andrews Farm,5114,City of Playford,Adelaide,-34.672,138.667,Bus stop 75,-34.66994959841495,138.66675858845113,Bus Station
45,1748,Andrews Farm,5114,City of Playford,Adelaide,-34.672,138.667,Andrews Farm General Store,-34.6700453,138.666106,Food & Drink Shop
46,1749,Angle Park,5010,City of Port Adelaide Enfield,Adelaide,-34.859,138.561,Pho Minh,-34.85912333420453,138.55637978650213,Vietnamese Restaurant
47,1749,Angle Park,5010,City of Port Adelaide Enfield,Adelaide,-34.859,138.561,Mai Kitchen,-34.86257923073023,138.5610682561539,Vietnamese Restaurant
48,1749,Angle Park,5010,City of Port Adelaide Enfield,Adelaide,-34.859,138.561,Nghi Ngan Quan,-34.862571118518275,138.56105782855295,Vietnamese Restaurant
49,1749,Angle Park,5010,City of Port Adelaide Enfield,Adelaide,-34.859,138.561,"The Parks, Regency Park",-34.85884860047544,138.55969475537975,Park
50,1749,Angle Park,5010,City of Port Adelaide Enfield,Adelaide,-34.859,138.561,Parks Sports Centre,-34.858253450809144,138.5588280589522,Athletics & Sports
51,1749,Angle Park,5010,City of Port Adelaide Enfield,Adelaide,-34.859,138.561,Chasers Restaurant & Function Centre,-34.85629106864633,138.56292082536487,Restaurant
52,1749,Angle Park,5010,City of Port Adelaide Enfield,Adelaide,-34.859,138.561,McQueens Tavern,-34.856058,138.562846,Sports Bar
53,1749,Angle Park,5010,City of Port Adelaide Enfield,Adelaide,-34.859,138.561,Greyhound Racing SA,-34.85603822561177,138.5629129143731,Racetrack
54,1749,Angle Park,5010,City of Port Adelaide Enfield,Adelaide,-34.859,138.561,C Coffee Angle Park,-34.85605942583573,138.5645541581897,Café
55,1750,Angle Vale,5117,City of Playford,Adelaide,-34.641602899999995,138.65392680000002,Virgara Fruit and Veg,-34.63968378491121,138.65561841553372,Food & Drink Shop
56,1750,Angle Vale,5117,City of Playford,Adelaide,-34.641602899999995,138.65392680000002,Angle Vale Community Sports Ground,-34.644192383605315,138.65500148643773,Athletics & Sports
57,1751,Ascot Park,5043,City of Marion,Adelaide,-34.988318,138.55909599999998,Bus Stop 18,-34.98692502435276,138.556509,Bus Station
58,1751,Ascot Park,5043,City of Marion,Adelaide,-34.988318,138.55909599999998,BWS,-34.990517,138.556936,Liquor Store
59,1751,Ascot Park,5043,City of Marion,Adelaide,-34.988318,138.55909599999998,Ascot Park Railway Station,-34.99198271514692,138.559791046,Train Station
60,1752,Ashford,5035,City of West Torrens,Adelaide,-34.949,138.57399999999998,Ashford Hospital,-34.948207,138.576731,Hospital
61,1752,Ashford,5035,City of West Torrens,Adelaide,-34.949,138.57399999999998,KFC,-34.9496673619699,138.57672523667188,Fast Food Restaurant
62,1752,Ashford,5035,City of West Torrens,Adelaide,-34.949,138.57399999999998,Hungry Jack's,-34.949471344981916,138.5769480335732,Fast Food Restaurant
63,1752,Ashford,5035,City of West Torrens,Adelaide,-34.949,138.57399999999998,Le Cornu Furniture,-34.94870124224506,138.57935225584288,Furniture / Home Store
64,1753,Athelstone,5076,"City of Campbelltown, South Australia",Adelaide,-34.87,138.703,Athelstone Village,-34.8717478828979,138.7028386401967,Shopping Mall
65,1753,Athelstone,5076,"City of Campbelltown, South Australia",Adelaide,-34.87,138.703,Athelstone Shopping Centre,-34.87107286886351,138.70194186748896,Grocery Store
66,1753,Athelstone,5076,"City of Campbelltown, South Australia",Adelaide,-34.87,138.703,Da Mario Pizza,-34.86946,138.70312,Pizza Place
67,1753,Athelstone,5076,"City of Campbelltown, South Australia",Adelaide,-34.87,138.703,Romeo's IGA Foodland,-34.871376,138.70111,Supermarket
68,1753,Athelstone,5076,"City of Campbelltown, South Australia",Adelaide,-34.87,138.703,Pets Domain,-34.871852,138.700708,Pet Store
69,1754,Athol Park,5012,City of Charles Sturt,Adelaide,-34.858000000000004,138.543,Westwood IGA,-34.856211313733,138.54677910387414,Grocery Store
70,1754,Athol Park,5012,City of Charles Sturt,Adelaide,-34.858000000000004,138.543,My Tho,-34.85825,138.54685,Vietnamese Restaurant
71,1754,Athol Park,5012,City of Charles Sturt,Adelaide,-34.858000000000004,138.543,Van,-34.861385,138.542478,Vietnamese Restaurant
72,1754,Athol Park,5012,City of Charles Sturt,Adelaide,-34.858000000000004,138.543,West Croydon Football Club,-34.860565,138.545773,Sports Club
73,1754,Athol Park,5012,City of Charles Sturt,Adelaide,-34.858000000000004,138.543,Hong Tam,-34.86144402958677,138.54250199419332,Vietnamese Restaurant
74,1754,Athol Park,5012,City of Charles Sturt,Adelaide,-34.858000000000004,138.543,Tan Nhu Y,-34.85583,138.54672,Tanning Salon
75,1755,Auldana,5072,City of Burnside,Adelaide,-34.918,138.685,Skye Cellars,-34.91878602958534,138.68534682159756,Shop & Service
76,1755,Auldana,5072,City of Burnside,Adelaide,-34.918,138.685,Penfold Park,-34.917911,138.68215,Playground
77,1756,Banksia Park,5091,City of Tea Tree Gully,Adelaide,-34.809082200000006,138.7316925,Tea Tree Gully Football Club,-34.81036855644958,138.72810120040148,Football Stadium
78,1756,Banksia Park,5091,City of Tea Tree Gully,Adelaide,-34.809082200000006,138.7316925,Tea Tree Gully Athletics Center,-34.809988,138.727692,Athletics & Sports
79,1756,Banksia Park,5091,City of Tea Tree Gully,Adelaide,-34.809082200000006,138.7316925,Geoff Asher Tree Services,-34.8054801,138.7345755,Garden Center
80,1756,Banksia Park,5091,City of Tea Tree Gully,Adelaide,-34.809082200000006,138.7316925,Stop 60 Hamilton Rd,-34.8047620989,138.731265636,Bus Station
81,1757,Beaumont,5066,City of Burnside,Adelaide,-34.951,138.661,Beaumont House,-34.949413,138.660617,Garden
82,1758,Bedford Park,5042,"City of Marion, City of Mitcham",Adelaide,-35.021,138.56799999999998,Theo's Coffee Lounge,-35.02081669890482,138.56832371200903,Café
83,1758,Bedford Park,5042,"City of Marion, City of Mitcham",Adelaide,-35.021,138.56799999999998,Hudsons Coffee,-35.020333,138.569464,Café
84,1758,Bedford Park,5042,"City of Marion, City of Mitcham",Adelaide,-35.021,138.56799999999998,T-Bar,-35.020077476843014,138.56856862522594,Tea Room
85,1758,Bedford Park,5042,"City of Marion, City of Mitcham",Adelaide,-35.021,138.56799999999998,Flinders Medical Centre Interchange,-35.02163742536227,138.56797269090413,Bus Station
86,1759,Belair,5052,City of Mitcham,Adelaide,-34.998118,138.62254,Belair Fine Wine,-34.99815,138.62376,Wine Shop
87,1759,Belair,5052,City of Mitcham,Adelaide,-34.998118,138.62254,Belair Pizzeria,-34.99932,138.62281,Pizza Place
88,1759,Belair,5052,City of Mitcham,Adelaide,-34.998118,138.62254,Belair Vines Shopping Centre,-34.99853663365502,138.62266634738467,Shopping Mall
89,1759,Belair,5052,City of Mitcham,Adelaide,-34.998118,138.62254,Pinera Railway Station,-35.000746987291826,138.6243242025375,Train Station
90,1760,Bellevue Heights,5050,City of Mitcham,Adelaide,-35.033,138.58700000000002,Carols - Coromandel Parade,-35.029279746768275,138.58594868626093,Park
91,1760,Bellevue Heights,5050,City of Mitcham,Adelaide,-35.033,138.58700000000002,Bellevue Heights Oval,-35.0291452125305,138.58631544929304,Park
92,1761,Beulah Park,5067,City of Burnside,Adelaide,-34.919000000000004,138.643,The Aviary Dessert Kitchen,-34.920845563428145,138.63983630679644,Dessert Shop
93,1761,Beulah Park,5067,City of Burnside,Adelaide,-34.919000000000004,138.643,The Grind,-34.921013452703335,138.6398070994367,Café
94,1761,Beulah Park,5067,City of Burnside,Adelaide,-34.919000000000004,138.643,Taste of Nepal,-34.92099,138.64502,Asian Restaurant
95,1761,Beulah Park,5067,City of Burnside,Adelaide,-34.919000000000004,138.643,The Parade,-34.920884902456486,138.6438474656461,Shopping Mall
96,1761,Beulah Park,5067,City of Burnside,Adelaide,-34.919000000000004,138.643,Kensington Hotel,-34.92154665015492,138.64550890287572,Pub
97,1761,Beulah Park,5067,City of Burnside,Adelaide,-34.919000000000004,138.643,Team Trampoline,-34.92057,138.64066,Gym / Fitness Center
98,1761,Beulah Park,5067,City of Burnside,Adelaide,-34.919000000000004,138.643,Bath Hotel,-34.92110570184193,138.63898517686604,Pub
99,1761,Beulah Park,5067,City of Burnside,Adelaide,-34.919000000000004,138.643,Base. Bar,-34.92134,138.63931,Restaurant
100,1761,Beulah Park,5067,City of Burnside,Adelaide,-34.919000000000004,138.643,St. Louis,-34.921155,138.638738,Ice Cream Shop
101,1762,Beverley,5009,City of Charles Sturt,Adelaide,-34.893,138.547,Halfway Hotel,-34.8900976274127,138.54842979059305,Pub
102,1762,Beverley,5009,City of Charles Sturt,Adelaide,-34.893,138.547,Petstock,-34.8924880377042,138.55160596660573,Pet Store
103,1763,Bibaringa,5118,City of Playford,Adelaide,-34.6383421,138.76610209999998,,,,
104,1764,Birkenhead,5015,City of Port Adelaide Enfield,Adelaide,-34.8360061,138.4999707,Port Adelaide Naval Association,-34.83919185197783,138.50239004091256,Speakeasy
105,1764,Birkenhead,5015,City of Port Adelaide Enfield,Adelaide,-34.8360061,138.4999707,Crocodile - Hitnes and Vans the Omega,-34.84018935595634,138.49815845489502,Historic Site
106,1765,Black Forest,5035,City of Unley,Adelaide,-34.964,138.576,Coffee Craft,-34.96093571741172,138.57245830399856,Café
107,1765,Black Forest,5035,City of Unley,Adelaide,-34.964,138.576,Asian Kitchen,-34.96406,138.573,Asian Restaurant
108,1765,Black Forest,5035,City of Unley,Adelaide,-34.964,138.576,Chapati House 2,-34.963418820827755,138.57296683702688,Indian Restaurant
109,1765,Black Forest,5035,City of Unley,Adelaide,-34.964,138.576,Subway,-34.96365428786086,138.57288223595904,Sandwich Place
110,1765,Black Forest,5035,City of Unley,Adelaide,-34.964,138.576,Amigo's Pizza,-34.964164761720454,138.5727908328329,Pizza Place
111,1765,Black Forest,5035,City of Unley,Adelaide,-34.964,138.576,Goody's Chicken,-34.96309791627265,138.5726197181799,Fried Chicken Joint
112,1765,Black Forest,5035,City of Unley,Adelaide,-34.964,138.576,Emerson Railway Station,-34.96660452557869,138.57375470716775,Train Station
113,1765,Black Forest,5035,City of Unley,Adelaide,-34.964,138.576,Bracegirdle's House of Fine Chocolate,-34.967041,138.579431,Dessert Shop
114,1765,Black Forest,5035,City of Unley,Adelaide,-34.964,138.576,Clarence Park Railway Station,-34.96138818612328,138.58045628174997,Train Station
115,1766,Blackwood,5051,City of Mitcham,Adelaide,-35.022684000000005,138.6163371,Fancy Burger,-35.02004546762076,138.61648770992372,Burger Joint
116,1766,Blackwood,5051,City of Mitcham,Adelaide,-35.022684000000005,138.6163371,Artisan Cafe,-35.02053018454791,138.61621993109574,Café
117,1766,Blackwood,5051,City of Mitcham,Adelaide,-35.022684000000005,138.6163371,Montagna Cafe,-35.02171130939033,138.61701022420152,Café
118,1766,Blackwood,5051,City of Mitcham,Adelaide,-35.022684000000005,138.6163371,Drake Foodland,-35.02035832712025,138.61592406119902,Supermarket
119,1766,Blackwood,5051,City of Mitcham,Adelaide,-35.022684000000005,138.6163371,The Little Leaf & Bean,-35.02265,138.61809,Café
120,1766,Blackwood,5051,City of Mitcham,Adelaide,-35.022684000000005,138.6163371,Bakers Delight Blackwood,-35.020377173853966,138.61591387728083,Bakery
121,1766,Blackwood,5051,City of Mitcham,Adelaide,-35.022684000000005,138.6163371,Blackwood Railway Station,-35.020929757783875,138.61921792428197,Train Station
122,1766,Blackwood,5051,City of Mitcham,Adelaide,-35.022684000000005,138.6163371,Coromandel Railway Station,-35.02520458333348,138.61440135339885,Train Station
123,1767,Blair Athol,5084,City of Port Adelaide Enfield,Adelaide,-34.861,138.597,Cafe De Vili's,-34.85942571542153,138.60085277577764,Bakery
124,1767,Blair Athol,5084,City of Port Adelaide Enfield,Adelaide,-34.861,138.597,Chicken Chef,-34.858683485482494,138.60076644455916,Fast Food Restaurant
125,1767,Blair Athol,5084,City of Port Adelaide Enfield,Adelaide,-34.861,138.597,Red Rooster,-34.86207,138.60069,Fast Food Restaurant
126,1767,Blair Athol,5084,City of Port Adelaide Enfield,Adelaide,-34.861,138.597,BP,-34.8614212905813,138.60088462601055,Gas Station
127,1767,Blair Athol,5084,City of Port Adelaide Enfield,Adelaide,-34.861,138.597,Bws,-34.86210582813695,138.6007580591339,Liquor Store
128,1767,Blair Athol,5084,City of Port Adelaide Enfield,Adelaide,-34.861,138.597,Ray's Outdoors,-34.861963,138.601338,Sporting Goods Shop
129,1767,Blair Athol,5084,City of Port Adelaide Enfield,Adelaide,-34.861,138.597,McDonald's,-34.861516869889655,138.60125549599024,Fast Food Restaurant
130,1768,Blakeview,5114,City of Playford,Adelaide,-34.681999999999995,138.702,Woolworths,-34.679681337559764,138.70442921393408,Supermarket
131,1768,Blakeview,5114,City of Playford,Adelaide,-34.681999999999995,138.702,Monica's Dine In,-34.680148906418886,138.70404416062271,Italian Restaurant
132,1768,Blakeview,5114,City of Playford,Adelaide,-34.681999999999995,138.702,BWS,-34.6799207756274,138.70398045360758,Liquor Store
133,1768,Blakeview,5114,City of Playford,Adelaide,-34.681999999999995,138.702,Fasta Pasta,-34.67979278787117,138.70490277622523,Italian Restaurant
134,1769,Blewitt Springs,5171,City of Onkaparinga,Adelaide,-35.1654325,138.6153977,,,,
135,1770,Bolivar,5110,City of Salisbury,Adelaide,-34.775,138.589,,,,
136,1771,Bowden,5007,City of Charles Sturt,Adelaide,-34.904,138.579,The Gov,-34.907004634628485,138.57556824039892,Pub
137,1771,Bowden,5007,City of Charles Sturt,Adelaide,-34.904,138.579,Jarmer's Kitchen,-34.9056,138.58004,Breakfast Spot
138,1771,Bowden,5007,City of Charles Sturt,Adelaide,-34.904,138.579,Hawker St Cafe,-34.90037708622538,138.5804047199795,Café
139,1771,Bowden,5007,City of Charles Sturt,Adelaide,-34.904,138.579,Loose Caboose,-34.90618344668504,138.57558661222163,Café
140,1771,Bowden,5007,City of Charles Sturt,Adelaide,-34.904,138.579,Taverna,-34.900012504342236,138.57994878734033,Greek Restaurant
141,1771,Bowden,5007,City of Charles Sturt,Adelaide,-34.904,138.579,Plant 4 IGA,-34.90629379245933,138.5781987348149,Supermarket
142,1771,Bowden,5007,City of Charles Sturt,Adelaide,-34.904,138.579,Pizza Mechanica,-34.90192,138.582373,Pizza Place
143,1771,Bowden,5007,City of Charles Sturt,Adelaide,-34.904,138.579,Bowden Railway Station,-34.906289227157025,138.57559229924627,Train Station
144,1771,Bowden,5007,City of Charles Sturt,Adelaide,-34.904,138.579,Gaslight,-34.90195,138.57531,Pub
145,1771,Bowden,5007,City of Charles Sturt,Adelaide,-34.904,138.579,Vintage Carousel,-34.90044,138.58019,Thrift / Vintage Store
146,1771,Bowden,5007,City of Charles Sturt,Adelaide,-34.904,138.579,North Adelaide Fitness Centre,-34.90243925250597,138.58309859064678,Gym
147,1771,Bowden,5007,City of Charles Sturt,Adelaide,-34.904,138.579,Palais on Hawker,-34.900315,138.580198,Beer Store
148,1772,Brahma Lodge,5109,City of Salisbury,Adelaide,-34.775,138.655,adelaide painting ptyltd,-34.7747927,138.65655630000003,Home Service
149,1773,Brighton,5048,City of Holdfast Bay,Adelaide,-35.019,138.52,Taste Of The Himalayas,-35.0186420986722,138.5229796832507,Asian Restaurant
150,1773,Brighton,5048,City of Holdfast Bay,Adelaide,-35.019,138.52,Royal Copenhagen,-35.017363137438814,138.51549153075965,Ice Cream Shop
151,1773,Brighton,5048,City of Holdfast Bay,Adelaide,-35.019,138.52,Charminar,-35.017877,138.5230976343155,Indian Restaurant
152,1773,Brighton,5048,City of Holdfast Bay,Adelaide,-35.019,138.52,In Thais Cafe,-35.0175,138.51604,Café
153,1773,Brighton,5048,City of Holdfast Bay,Adelaide,-35.019,138.52,C.R.E.A.M (Coffee Rules Everything Around Me),-35.017338,138.516722,Café
154,1773,Brighton,5048,City of Holdfast Bay,Adelaide,-35.019,138.52,Brighton foodland,-35.021963874255036,138.52292106806877,Restaurant
155,1773,Brighton,5048,City of Holdfast Bay,Adelaide,-35.019,138.52,Subway,-35.019839,138.5233567,Sandwich Place
156,1773,Brighton,5048,City of Holdfast Bay,Adelaide,-35.019,138.52,Fasta Pasta,-35.0161191554812,138.52300567308578,Italian Restaurant
157,1773,Brighton,5048,City of Holdfast Bay,Adelaide,-35.019,138.52,The Edge Delicatessen,-35.01728123845781,138.51680677139814,Café
158,1773,Brighton,5048,City of Holdfast Bay,Adelaide,-35.019,138.52,A Cafe Etc.,-35.01730864892417,138.51564884840096,Café
159,1773,Brighton,5048,City of Holdfast Bay,Adelaide,-35.019,138.52,Brighton Railway Station,-35.02119787637275,138.51895927948732,Train Station
160,1773,Brighton,5048,City of Holdfast Bay,Adelaide,-35.019,138.52,Liquorland,-35.01724819773124,138.5228526837684,Liquor Store
161,1773,Brighton,5048,City of Holdfast Bay,Adelaide,-35.019,138.52,Cafe Beach Pit,-35.01738816,138.51643627,Café
162,1773,Brighton,5048,City of Holdfast Bay,Adelaide,-35.019,138.52,Brighton,-35.01722362218238,138.51605863678648,Neighborhood
163,1773,Brighton,5048,City of Holdfast Bay,Adelaide,-35.019,138.52,Mp3 Cafe Montpellier,-35.01727781435826,138.5158834240208,Café
164,1773,Brighton,5048,City of Holdfast Bay,Adelaide,-35.019,138.52,Crust Gourmet Pizza Bar,-35.01616,138.52332,Pizza Place
165,1773,Brighton,5048,City of Holdfast Bay,Adelaide,-35.019,138.52,eNuf Buger Bar,-35.01756,138.51523,Burger Joint
166,1774,Broadview,5083,"City of Port Adelaide Enfield, City of Prospect",Adelaide,-34.873000000000005,138.614,Al Pacino's Pizzeria,-34.87322,138.6145,Pizza Place
167,1774,Broadview,5083,"City of Port Adelaide Enfield, City of Prospect",Adelaide,-34.873000000000005,138.614,The Ganges,-34.87337,138.61494,Indian Restaurant
168,1774,Broadview,5083,"City of Port Adelaide Enfield, City of Prospect",Adelaide,-34.873000000000005,138.614,La Romana Pizza Bar,-34.873398,138.619015,Pizza Place
169,1774,Broadview,5083,"City of Port Adelaide Enfield, City of Prospect",Adelaide,-34.873000000000005,138.614,San Giorgio's Broadview,-34.873491,138.619036,Italian Restaurant
170,1774,Broadview,5083,"City of Port Adelaide Enfield, City of Prospect",Adelaide,-34.873000000000005,138.614,Lumpy's Pizza,-34.872374259171735,138.61918725491856,Pizza Place
171,1774,Broadview,5083,"City of Port Adelaide Enfield, City of Prospect",Adelaide,-34.873000000000005,138.614,Chemist Warehouse,-34.87244984753226,138.61937319246852,Pharmacy
172,1775,Brompton,5007,City of Charles Sturt,Adelaide,-34.897,138.577,Hawker St Cafe,-34.90037708622538,138.5804047199795,Café
173,1775,Brompton,5007,City of Charles Sturt,Adelaide,-34.897,138.577,Taverna,-34.900012504342236,138.57994878734033,Greek Restaurant
174,1775,Brompton,5007,City of Charles Sturt,Adelaide,-34.897,138.577,The Excelsior,-34.89600125990431,138.57537500472486,Pub
175,1775,Brompton,5007,City of Charles Sturt,Adelaide,-34.897,138.577,Bangkok Delight,-34.894398,138.57986,Thai Restaurant
176,1775,Brompton,5007,City of Charles Sturt,Adelaide,-34.897,138.577,Brompton Supa Deli,-34.89507,138.58076,Deli / Bodega
177,1775,Brompton,5007,City of Charles Sturt,Adelaide,-34.897,138.577,Palais on Hawker,-34.900315,138.580198,Beer Store
178,1775,Brompton,5007,City of Charles Sturt,Adelaide,-34.897,138.577,Oporto Brompton,-34.89539979340792,138.58189978351587,Fast Food Restaurant
179,1775,Brompton,5007,City of Charles Sturt,Adelaide,-34.897,138.577,Vintage Carousel,-34.90044,138.58019,Thrift / Vintage Store
180,1776,Brooklyn Park,5032,City of West Torrens,Adelaide,-34.9286646,138.54640659999998,Vietnam Sunrise,-34.924672309080684,138.54887949272097,Vietnamese Restaurant
181,1776,Brooklyn Park,5032,City of West Torrens,Adelaide,-34.9286646,138.54640659999998,Brooklyn Park IGA,-34.924764282540046,138.54896697994636,Grocery Store
182,1776,Brooklyn Park,5032,City of West Torrens,Adelaide,-34.9286646,138.54640659999998,La Romana  Pizza Bar,-34.92531,138.54434,Pizza Place
183,1776,Brooklyn Park,5032,City of West Torrens,Adelaide,-34.9286646,138.54640659999998,Cathay Court Chinese Restaurant,-34.925159251646306,138.54406564034457,Asian Restaurant
184,1777,Burnside,5066,City of Burnside,Adelaide,-34.939,138.666,,,,
185,1778,Burton,5110,City of Salisbury,Adelaide,-34.73999999999999,138.605,Springbank Chicken & Seafood,-34.74061365743285,138.6049257415324,Fast Food Restaurant
186,1778,Burton,5110,City of Salisbury,Adelaide,-34.73999999999999,138.605,Woolworths,-34.7408834448685,138.60512369805497,Supermarket
187,1779,Camden Park,5038,City of West Torrens,Adelaide,-34.968680400000004,138.541234,Novar Gardens IGA,-34.966439920203754,138.53651125893447,Grocery Store
188,1779,Camden Park,5038,City of West Torrens,Adelaide,-34.968680400000004,138.541234,Fassina,-34.96999,138.54614,Liquor Store
189,1779,Camden Park,5038,City of West Torrens,Adelaide,-34.968680400000004,138.541234,Novar Espresso Cafe,-34.966414,138.536627,Café
190,1779,Camden Park,5038,City of West Torrens,Adelaide,-34.968680400000004,138.541234,Cook 'n' Chooks,-34.96634,138.53656,Fast Food Restaurant
